EIN,NAME,F9_03_PZ_MISSION,totRevenue_12,totRevenue_13,totRevenue_14,totRevenue_15,totRevenue_16,totRevenue_17,totRevenue_18,totRevenue_19,totRevenue_20,totRevenue_21,totRevenue_22,totRevenue_23
10716217,THE SAN FRANCISCO HOUSING ACCELERATOR,"THE CORPORATION'S SPECIFIC PURPOSE IS TO SUPPORTS AFFORDABLE HOUSING, COMMUNITY DEVELOPMENT AND ECONOMIC DEVELOPMENT OF THE CITY AND COUNTY OF SAN FRANCISCO'S ECONOMICALLY DISADVANTAGED INDIVIDUALS AND COMMUNITIES, BY LENDING TO, INVESTING IN, AND DIRECTLY ACQUIRING SUCH AFFORDABLE HOUSING AND RELATED COMMUNITY DEVELOPMENT REAL ESTATE ASSETS.",,,,,,,100.0,256.8658541988617,2937.1571772091906,6653.089046990572,1208.7890989502007,3182.368231318365
10842551,CREEKSIDE ELEMENTARY PTO INC,SUPPORT HARTLAND CREEKSIDE ELEMENTARY SCHOOL.,100.0,,,96.15884263359905,108.42633599055212,,118.69796279893711,134.50250959551224,162.9849424269265,108.75405963979922,82.11691762621788,93.86182462356068
20792368,COVINGTON COMMUNITY SPORTS INC,COMMUNITY SPORTS PROGRAMS.,100.0,86.90889548332828,,,,,,,,,,
30555726,PERMIAN HIGH SCHOOL PROJECT GRADUATION,PROVIDE A SUBSTANCE FREE,100.0,,,,126.0457334076966,,141.22090959793135,114.45013436089843,135.18734472443342,,,
43611860,METRO COMMUNITY DEVELOPMENT,"TO RELIEVE THE POOR, THE DISTRESSED AND THE UNDERPRIVILAGED AND COMBAT COMMUNITY DETERIORATION IN THE BUFFALO-NIAGARA REGION OF NEW YORK STATE, BY ESTABLISHING AND MAINTAINING A FAITH-BASED COMMUNITY DEVELOPMENT CORPORATION.",,,100.0,159.99128469101507,209.27181777741467,166.35073671596263,210.5137493077684,206.76798213361658,173.17228168604913,209.30903940953783,338.39729099145717,603.0539895234723
43771703,FAMILY GATEWAY AFFORDABLE HOUSING INC,"FAMILY GATEWAY AFFORDABLE HOUSING, INC.(FGAH) IS OPERATED, SUPERVISED, AND CONTROLLED BY FAMILY GATEWAY, INC., (FG) A TEXAS NONPROFIT FOR THE PURPOSE OF BUILDING AND OPERATING HOUSING UNITS AVAILABLE TO LOW INCOME TENANTS. FGAH WORKS WITH FG TO PROVIDE VARIOUS SUPPORT SERVICES TO TENANTS OCCUPYING FGAH'S PROPERTY, AND ASSIST FG IN FULFILLLING ITS PURPOSES OF PROVIDING SAFE, DECENT, AND AFFORDABLE HOUSING TO LOW INCOME AND VERY LOW INCOME INDIVIDUALS.",,,,,,100.0,880.8482051282052,705.3333333333334,0.0,0.0,185.8851282051282,220.70871794871795
50549622,Church of the Most High,"Youth Ministry, Adult ministry.",,,,,,100.0,0.0,,,,,
50581787,Bright Light Foundation,ASSISTANCE WITH MEDICAL AND EDUCATION EXPENSES,100.0,72.6692819122623,,,,40.84878405920415,42.281892474820424,27.60056987949423,23.514207412390924,0.8525931495735798,6.3958090112195025,15.270989571996754
50618564,CONGREGATION MAGEN DAVID OF MANHATTAN,We are a grass roots volunteer based Sephardic Synagogue founded by a group of dedicated Jewish Professionals who are devoted to maintaining ties to their history and tradition while developing leadership and growth.,,,,,100.0,91.16704467676782,104.26905372216928,92.6552413672782,,,71.29480761746272,94.78735254250937
61582376,Connecticut Asian Pacific American Bar,To promote and recognize the practice of law by Asian-Pacific men and women in the State of Connecticut.,,,,,,100.0,,164.09676941315945,140.12299940723176,13.374333135743925,14.774748073503261,14.58580320094843
61790598,LOVE A DOG,"PROVIDES SHELTER, MEDICAL CARE AND FOOD TO STRAY & UNWANTED DOGS.",100.0,,,,,,,,,,,
61821118,IM STILL STANDING BY GRACE INC,Im Still Standing By grace is a regional behavioral healthcare and certified substance abuse system that provides comprehensive and caring services to adults and their families.,,,,,100.0,270.05474800009387,327.32235591155813,374.61586413940785,404.7577811801467,,,784.2691441940776
66086737,UNICO NATIONAL TORRINGTON,"SUPPORTS COMMUNITY CHARITIES THROUGH AWARDS, SCHOLARSHIPS, GRANTS AND DONATIONS.",100.0,,137.03383418008863,,143.02237595935574,,88.0499405469679,115.66857637012215,34.028753648254245,,88.42827802399741,113.6039347097611
113087078,MOST WORSHIPFUL DORIC GRAND LODGE OF,CHARITABLE ORGANIZATION,,,,,,,100.0,11.672517022420656,,,,
113187592,AMERICAN FRIENDS OF NEVE AVRAHAM INC,A PROGRAM TO PROVIDE THERAPEUTIC SERVICES TO THE FAMILIES OF KIRYAT HEBRON AND SURROUNDING AREAS IN ISREAL.,,,,,,100.0,32.69996485021004,141.55079720876094,87.9470793981895,88.93876445607141,87.35356655122938,0.450320669805178
113731446,COMMUNITY BOXING CENTER INC,YOUTH DEVELOPMENT PROGRAMS,,,,,100.0,74.70582451080008,69.54996886164739,,,,,
133435994,METROPOLITAN NY RIGHT TO LIFE,PROMOTE EDUCATION OF HUMAN LIFE,100.0,0.0,,,,,,,,,,
133853367,TOWN OF LEWISBORO SOCCER CLUB INC,PROVIDE A RECREATIONAL SOCCER PROGRAM FOR CHILDREN OF RESIDENTS IN,100.0,,,,126.1681044354531,124.83609435834796,113.31399343461332,119.29979387739522,128.2995648522788,,179.68425070616078,151.1376440949691
134104889,BAYVIEW COMMUNITY COUNCIL,COMMERCIAL DEVELOPMENT,100.0,,,,68.7757909215956,,215.16506189821186,439.5861989912884,189.82118294360387,74.7764786795048,21.11416781292985,0.0
134126008,JUST PLAY SOCCER CLUB INC,"JUST PLAY SOCCER CLUB INC. IS A NON-FOR-PROFIT ORGANIZATION UNDER IRC 501C(3). THE CORPORATION EXISTS AS A RESULT OF A COMPELLING DEMAND BY THE WESTCHESTER YOUTH SOCCER LEAGUE THAT ALL PARTICIPATING CLUBS BE LEGALLY DESIGNATED AS NON-FOR-PROFIT ORGANIZATIONS. WE ARE A GROUP OF PARENTS WHO SEEK HIGH QUALITY SOCCER OPPORTUNITIES FOR OUR CHILDREN. TO MEET THIS GOAL, WE HAVE ESTABLISHED A RELATIONSHIP WITH THE WESTCHESTER YOUTH SOCCER GOVERNING BODY.",100.0,,,,100.0,125.7721394821312,149.84870313847932,182.1312056892875,217.97739524170274,171.77207817515404,270.5612653760088,279.5839007877947
134232989,FLORIDA HEALTHY CHOICES COALITION,TO EDUCATE AND EMPOWER YOUNG PEOPLE TO MAKE HEALTHY LIFE CHOICES.,,,,,100.0,,,,,,,
135602922,THE AMERICAN LABOR CONFERENCE ON,"PUBLICATION OF ""NEW LEADER"" MAGAZINE",100.0,402.0278833967047,,,143.7103929024081,,,202.77249683143222,,,,
136139887,HOROLOGICAL SOCIETY OF NEW YORK INC,"THE HOROLOGICAL SOCIETY OF NEW YORK IS DEDICATED TO ADVANCING THE ART AND SCIENCE OF HOROLOGY. MEMBERS ARE A DIVERSE MIX OF WATCHMAKERS, CLOCKMAKERS, EXECUTIVES, JOURNALISTS, AUCTIONEERS, HISTORIANS, SALESPEOPLE AND COLLECTORS, REFLECTING THE RICH NATURE OF HOROLOGY IN NEW YORK CITY.",,,,,,,100.0,218.74764881858732,,292.43770488866596,405.9142289020655,426.5047561041148
